Event ID;Event Type;Event Status;Location; Specific Location;Consequences;RAM Potential;RAM Actual;Task / Activity;Risk Area;Event/Consequence: Consequence;Event: Consequences;Event: Human Factors;Event: Potential Severity - People;Event: Potential Severity - Asset;Event: Potential Severity - Community;Event: Potential Severity - Environmental
1057051;Observation;Closed;FPSO Fluminense;;Asset Damage;4C;;Marine transport, operations and diving;Maritime and water related;Observation;;;4. PTD or up to 3 Fatalities;3. Moderate Damage;0. No Effect;0. No Effect
1057051;Observation;Closed;FPSO Fluminense;;People;4C;;Marine transport, operations and diving;Maritime and water related;Observation;;;4. PTD or up to 3 Fatalities;3. Moderate Damage;0. No Effect;0. No Effect
1057058;Observation;Closed;FPSO Fluminense;;People;3C;;Other;Struck by moving objects or machinery;Observation;;;3. Major Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
1059168;Observation;Closed;FPSO Fluminense;;People;2C;;Other;Dropped or fallen objects;Observation;;;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
1060659;Observation;Closed;FPSO Fluminense;;People;3C;;Confined space;Falls from height (people);Observation;;;3. Major Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
1060659;Observation;Closed;FPSO Fluminense;;People;3C;;Walking, ascending, descending;Falls from height (people);Observation;;;3. Major Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
269251;Observation;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Onsite (Other);Environment;2D;;Drilling, workover, well services;Process safety;Observation;Environment;;0. No Injury or Health Effect;0. No Damage;0. No Effect;2. Minor Effect
276305;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Living Quarters;People;1D;1;Office, accommodation, catering;Slips and trips;Incident;People;I don't know;1. Slight Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
304459;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Onsite (Other);People;1D;1;Walking, ascending, descending;Slips and trips;Incident;People;;1. Slight Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
308589;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Moonpool;People;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
308589;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Moonpool;People;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
308589;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Moonpool;People;2D;;Working at height;Dropped or fallen objects;Near Miss;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
308589;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Moonpool;People;2D;;Working at height;Dropped or fallen objects;Near Miss;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
308589;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Moonpool;People;2D;;Manual handling, tool use;Dropped or fallen objects;Near Miss;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
308589;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Moonpool;People;2D;;Manual handling, tool use;Dropped or fallen objects;Near Miss;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
331098;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Subsea Area;Asset Damage;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;Asset Damage;Tools, equipment and workspace;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
332604;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Pipe Rack;People;1E;1;Other;Non work-related illness, injury or death;Incident;People;I don't know;1. Slight Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
334774;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Living Quarters;People;1D;1;Office, accommodation, catering;Slips and trips;Incident;People;;1. Slight Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
397453;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Subsea Area;People;3C;2;Hot work;Non-process safety related leaks, spills, fires or explosions;Incident;People;Team communication, coordination, planning;3. Major Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
397453;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Subsea Area;People;3C;2;Hot work;Non-process safety related leaks, spills, fires or explosions;Incident;People;Tools, equipment and workspace;3. Major Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
418378;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Engine Room;People;0D;4;Maintenance, inspection, testing;Non work-related illness, injury or death;Incident;People;;0. No Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
428448;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Asset Damage;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;People,Asset Damage;Mental state;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
428448;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;People;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;People,Asset Damage;Mental state;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
428448;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Asset Damage;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;People,Asset Damage;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
428448;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;People;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;People,Asset Damage;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452166;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Aux Floor;People;2D;;Drilling, workover, well services;Struck by moving objects or machinery;Near Miss;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
452166;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Aux Floor;People;2D;;Equipment or process related;Struck by moving objects or machinery;Near Miss;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
456789;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Asset Damage;2C;1;Drilling, workover, well services;Process safety;Incident;;;2. Minor Injury or Health Effect;2. Minor Damage;2. Minor Effect;2. Minor Effect
456789;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Asset Damage;2C;1;Decommissioning and demolition;Process safety;Incident;;;2. Minor Injury or Health Effect;2. Minor Damage;2. Minor Effect;2. Minor Effect
456824;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Asset Damage;2C;1;Drilling, workover, well services;Process safety;Incident;;;2. Minor Injury or Health Effect;2. Minor Damage;2. Minor Effect;2. Minor Effect
456824;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Asset Damage;2C;1;Decommissioning and demolition;Process safety;Incident;;;2. Minor Injury or Health Effect;2. Minor Damage;2. Minor Effect;2. Minor Effect
462953;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Moonpool;Asset Damage;2D;;Other;Dropped or fallen objects;Near Miss;Asset Damage;Environmental conditions;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
465111;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Environment;3B;1;Drilling, workover, well services;Process safety;Incident;Environment,Asset Damage,People,Community;Task and procedure design;3. Major Injury or Health Effect;0. No Damage;0. No Effect;3. Moderate Effect
465111;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Environment;3B;1;Drilling, workover, well services;Process safety;Incident;Environment,Asset Damage,People,Community;Team communication, coordination, planning;3. Major Injury or Health Effect;0. No Damage;0. No Effect;3. Moderate Effect
